city,sector_code,period,digital_gap,automation_potential,economic_capacity,accessible_market,competitive_pressure,service_fit,accessibility,authority,completeness,freshness,consistency,entity_resolution
Bogota D.C.,construction,2025,0.78,0.82,0.62,0.88,0.74,0.86,0.75,0.90,0.85,0.75,0.78,1.00
Bogota D.C.,health,2025,0.65,0.90,0.78,0.80,0.70,0.92,0.81,0.95,0.90,0.82,0.84,1.00
Bogota D.C.,real_estate,2025,0.52,0.74,0.82,0.76,0.84,0.83,0.88,0.95,0.92,0.86,0.88,1.00
Bogota D.C.,technical_services,2025,0.84,0.88,0.55,0.85,0.61,0.80,0.73,0.86,0.80,0.70,0.74,1.00
Bogota D.C.,education,2025,0.69,0.77,0.58,0.79,0.68,0.87,0.84,0.90,0.86,0.76,0.80,1.00
Medellin,construction,2025,0.75,0.80,0.60,0.77,0.79,0.86,0.72,0.88,0.82,0.73,0.77,1.00
Medellin,health,2025,0.61,0.89,0.76,0.73,0.76,0.93,0.78,0.93,0.88,0.80,0.82,1.00
Medellin,real_estate,2025,0.49,0.70,0.80,0.69,0.86,0.82,0.84,0.94,0.89,0.81,0.84,1.00
Medellin,technical_services,2025,0.86,0.91,0.51,0.82,0.66,0.84,0.70,0.84,0.78,0.66,0.72,1.00
Medellin,education,2025,0.67,0.75,0.56,0.74,0.72,0.88,0.80,0.89,0.83,0.72,0.78,1.00
Cali,construction,2025,0.82,0.81,0.54,0.74,0.68,0.85,0.69,0.82,0.75,0.65,0.70,1.00
Cali,health,2025,0.70,0.87,0.70,0.71,0.65,0.91,0.75,0.89,0.84,0.73,0.77,1.00
Cali,real_estate,2025,0.58,0.72,0.73,0.67,0.79,0.80,0.79,0.90,0.85,0.74,0.79,1.00
Cali,technical_services,2025,0.89,0.92,0.48,0.78,0.59,0.82,0.66,0.80,0.72,0.61,0.68,1.00
Cali,education,2025,0.73,0.78,0.52,0.70,0.64,0.86,0.77,0.87,0.80,0.69,0.75,1.00
